ID,Aktywny,Nazwa,Kategoria nadrzędna
20,1,Etui na telefon,Do smartfona
21,1,"Szkło hartowane, folia na telefon",Do smartfona
22,1,Ładowarka do telefonu,Do smartfona
23,1,Uchwyt na telefon,Do smartfona
24,1,Statyw do telefonu,Do smartfona
25,1,Pad do telefonu,Do smartfona
26,1,"Obiektyw, teleskop do telefonu",Do smartfona
27,1,Rysik do telefonu,Do smartfona
